WELL,LUGAR,LOCATION,Field Ph,SiO2,Ca2+,Mg2+,Na+,K+,Fe+2,HCO3-,SO4 2-,CL-,NO3-,NO2-,CE,TDS,Cumple,POINT_X,POINT_Y
M-33237,Acueducto El Taladro,Pozo,4.4,11,1,1,0.8,0.5,0.1,0,0.2,1.1,7.3,0.1,41,32,Cumple,1041849,1297196
M-33208,Villa De Los Angeles,Pozo,6.86,82,20,5,8.7,3.9,0.4,86,2.8,4.7,0.1,0.1,226,203,Cumple,1019432.02,1317206.91
M-33210,Aguas De P Wilches Planta,Pozo,6.98,63,6,3,10.1,2,0.2,50,1.1,0.5,0.9,0.1,162,120,Cumple,1019830,1304488
M-33212,PCM 2 ABAS,ABAS,7.76,54,9,4,14,2.4,0.6,87,0.3,0.5,0.1,0.1,324,134,Cumple,1020894,1306803
M-33216,Acueducto El Pedral,Pozo,6.54,60,9,2,7.1,3.1,0.1,54,1.8,1.6,1.6,0.1,223,123,Cumple,1025826,1290995
M-33221,Acueducto Pte Sogamoso,Pozo,7.3,69,12,4,10.8,3.8,0.1,77,0.6,1.6,1.5,0.1,181,170,Cumple,1032251,1293053
M-33222,Acueducto Campo Duro,Pozo,6.89,93,13,8,10.6,5.6,0.8,108,0.7,0.3,0.1,0.1,212,207,Cumple,1033161,1312351
M-33243,Pradilla,Pozo,6.7,87,9,5,8.1,4.6,0.4,74,0.2,0.3,0.1,0.1,135.7,171,Cumple,1043911,1304451
M-33364,Acueducto San Claver,Pozo,6.89,84,13,4,10.3,4.3,0.1,79,0.2,0.3,0.1,0.1,316,172,Cumple,1033847,1301722
M-33365,Aguas De P Wilches,Pozo,6.54,60,21,8,11.7,4.2,0.1,95,16.9,2,0.1,0.1,282,194,Cumple,1018729,1302259
M-33367,Finca La Florida,Aljibe,5.52,6,8,2,4.1,2.9,0.1,23,0.4,12.2,7.1,0.1,126,79,Cumple,1027645,1307987
M-33369,Finca Santa Teresa,Pozo,7.36,48,32,6,5.5,3,0.1,117,0.4,3.4,0.1,0.1,226,188,Cumple,1020889,1311919
M-33370,Villa Rosario,Pozo,6.87,17,100,8,11.2,2.3,0.1,311,0.1,11.6,0.1,0.1,712,401,Cumple,1022146.67,1288287.55
M-33430,Nuevo Caserio,Aljibe,4.12,0,3,2,22.5,2.2,0.1,3,1.4,20.6,35.7,0.1,314,155,Cumple,1021358.43,1301509.66
M-33616,Acueducto San Claver,Pozo,7.89,70.2,11,5,8.9579,4.2105,0.7889,74,0.39,0.237,0.05,0.05,144.1,183,Cumple,1033847,1301722
M-33595,Pradilla,Pozo,6.94,73.5,8,4,7.997,4.8954,0.4329,63,0.5,0.2,0.05,0.05,125.9,179,Cumple,1043911,1304451
M-33625,PCM 2 ABAS,ABAS,8.33,35,6,1,42.213,1.613,0.05,124,0.5,0.5,0.05,0.05,211,153,Cumple,1020894,1306803
M-33097,Finca Villa De Oro,Aljibe,5.99,97.5,2,0.5,10.4,0.4,0.05,35,1.6,0.8,0.05,0.05,67,194,Cumple,1038500,1302300
M-33098,Caserio Garcia Cadena,Pozo,6.56,11.5,3,2,4.2,1.9,0.05,36,0.3,1.4,0.4,0.05,55,75,Cumple,1031555,1300090
M-33117,Escuela Caserio,Pozo,7.1,50.5,62,8,5.9,3,0.05,216,1.5,3.4,0.05,0.05,4.14,290,Cumple,1020830.7,1311475.15
M-33118,Escuela Vda,Pozo,6.78,69.3,24,8,5.8,2.7,0.5,108,0.05,3.8,0.05,0.05,243,301,Cumple,1021332.13,1316160.52
M-33119,Finca Villa De Los Angeles,Pozo,7.03,75.6,21,7,7.3,2.1,0.5,88,4.9,3.8,0.05,0.05,204,208,Cumple,1019432.02,1317206.91
M-33122,Acueducto Km 8,Pozo,6.73,66,7,5,8.5,3.4,0.7,63,0.8,0.2,0.05,0.05,120.9,156,Cumple,1026143,1302032
M-33125,Finca Los Cambulos,Pozo,5.94,10,7,2,3.9,1.9,0.14,20,3.2,8.9,3.8,0.05,81.2,66,Cumple,1027818.24,1291958.07
M-33128,Acueducto Pte Sogamoso,Pozo,7.11,49.1,10,7,3.5,3.5,0.1,71,1,2.8,2.5,0.05,147,182,Cumple,1032251,1293053
M-33130,Finca Bellavista,Pozo,5.96,36.6,2,2,7,1.2,0.05,24,0.4,2.8,2.4,0.05,55,80,Cumple,1043132.67,1297664.02
M-33134,Finca La Florida,Pozo,6.19,9.1,9,1,3.7,1.1,0.05,24,0.9,4.3,3.7,0.05,72.7,62,Cumple,1027645,1307987
M-33126,Los Recuerdos De Ella,Aljibe,6.86,11.5,221,17,13.4,1.4,0.05,593,111,2.9,0.2,0.1,8.53,722,Cumple,1019739.57,1287424.23
M-33127,Villa Rosario,Pozo,7.08,16.2,10,7,4.9,2.1,0.15,57,0.1,13.6,0.05,0.05,551,391,Cumple,1022146.67,1288287.55
