Sample,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,TDS
sample1,Grupo 1,red,o,30,0.6,4.4,1,1,0.8,0.5,0,0,1.1,0.2,32
sample2,Grupo 2,blue,o,30,0.6,6.86,20,5,8.7,3.9,86,0,4.7,2.8,203
sample3,Grupo 2,blue,o,30,0.6,6.98,6,3,10.1,2,50,0,0.5,1.1,120
sample4,Grupo 2,blue,o,30,0.6,7.76,9,4,14,2.4,87,0,0.5,0.3,134
sample5,Grupo 2,blue,o,30,0.6,6.54,9,2,7.1,3.1,54,0,1.6,1.8,123
sample6,Grupo 2,blue,o,30,0.6,7.3,12,4,10.8,3.8,77,0,1.6,0.6,170
sample7,Grupo 2,blue,o,30,0.6,6.89,13,8,10.6,5.6,108,0,0.3,0.7,207
sample8,Grupo 2,blue,o,30,0.6,6.7,9,5,8.1,4.6,74,0,0.3,0.2,171
sample9,Grupo 2,blue,o,30,0.6,6.89,13,4,10.3,4.3,79,0,0.3,0.2,172
sample10,Grupo 2,blue,o,30,0.6,6.54,21,8,11.7,4.2,95,0,2,16.9,194
sample11,Grupo 1,red,o,30,0.6,5.52,8,2,4.1,2.9,23,0,12.2,0.4,79
sample12,Grupo 2,blue,o,30,0.6,7.36,32,6,5.5,3,117,0,3.4,0.4,188
sample13,Grupo 2,blue,o,30,0.6,6.87,100,8,11.2,2.3,311,0,11.6,0.1,401
sample14,Grupo 1,red,o,30,0.6,4.12,3,2,22.5,2.2,3,0,20.6,1.4,155
sample15,Grupo 2,blue,o,30,0.6,7.89,11,5,8.9579,4.2105,74,0,0.237,0.39,183
sample16,Grupo 2,blue,o,30,0.6,6.94,8,4,7.997,4.8954,63,0,0.2,0.5,179
sample17,Grupo 2,blue,o,30,0.6,8.33,6,1,42.213,1.613,124,0,0.5,0.5,153
sample18,Grupo 1,red,o,30,0.6,5.99,2,0.5,10.4,0.4,35,0,0.8,1.6,194
sample19,Grupo 1,red,o,30,0.6,6.56,3,2,4.2,1.9,36,0,1.4,0.3,75
sample20,Grupo 2,blue,o,30,0.6,7.1,62,8,5.9,3,216,0,3.4,1.5,290
sample21,Grupo 2,blue,o,30,0.6,6.78,24,8,5.8,2.7,108,0,3.8,0.05,301
sample22,Grupo 2,blue,o,30,0.6,7.03,21,7,7.3,2.1,88,0,3.8,4.9,208
sample23,Grupo 2,blue,o,30,0.6,6.73,7,5,8.5,3.4,63,0,0.2,0.8,156
sample24,Grupo 1,red,o,30,0.6,5.94,7,2,3.9,1.9,20,0,8.9,3.2,66
sample25,Grupo 2,blue,o,30,0.6,7.11,10,7,3.5,3.5,71,0,2.8,1,182
sample26,Grupo 1,red,o,30,0.6,5.96,2,2,7,1.2,24,0,2.8,0.4,80
sample27,Grupo 1,red,o,30,0.6,6.19,9,1,3.7,1.1,24,0,4.3,0.9,62
sample28,Grupo 3,green,o,30,0.6,6.86,221,17,13.4,1.4,593,0,2.9,111,722
sample29,Grupo 2,blue,o,30,0.6,7.08,10,7,4.9,2.1,57,0,13.6,0.1,391
